Stripe,startTicker,endTicker
A1,"""A""","""ANEW"""
A2,"""ANEW""","""BKR"""
,,
B1,"""BKR""","""COKE"""
B2,"""COKE""","""DLTR"""
,,
C1,"""DLTR""","""FE"""
C2,"""FE""","""GSL"""
,,
D1,"""GSL""","""JDST"""
D2,"""JDST""",""MACK"""
,,
E1,"""MACK""","""MSVB"""
E2,"""MSVB""","""ONB"""
,,
F1,"""ONB""","""RH"""
F2,"""RH""","""SOFO"""
,,
G1,"""SOFO""","""TLT"""
G2,"""TLT""","""UAMY"""
,,
H1,"""UAMY""","""WMT"""
H2,"""WMT""","""ZZZZZZ"""
,,
A,"""A1""","""A2"""
B,"""B1""","""B2"""
C,"""C1""","""C2"""
D,"""D1""","""D2"""
E,"""E1""","""E2"""
F,"""F1""","""F1"""
G,"""G1""","""G2"""
H,"""F1""","""F2"""
